song,artist,cluster
What a Girl Wants,Pia Mia,0
Me Tehtiin Tää,Robin,0
Aamukuuteen (feat. Erin),"Antti Tuisku, Erin",1
Juoppokuski,"Mäkki, Arttu Wiskari",1
Syliin,"Vilma Alina, Jon-Jon",3
"Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","Nick Jonas, Nicki Minaj",3
6K,Mikael Gabriel,0
Reminder - Remix,"The Weeknd, A$AP Rocky, Young Thug",4
That's It (feat. Gucci Mane & 2 Chainz),"Bebe Rexha, Gucci Mane, 2 Chainz",3
Water,Jack Garratt,2
Scary Monsters and Nice Sprites,Skrillex,2
Bangarang (feat. Sirah),"Skrillex, Sirah",1
Either Way (feat. Joey Bada$$),"Snakehips, Anne-Marie, Joey Bada$$",1
Bubblegum Bitch,MARINA,0
He Could Be the One,Hannah Montana,1
Wake Up,Hilary Duff,1
Redbone,Childish Gambino,3
Not Nice,PARTYNEXTDOOR,1
Replay,Zendaya,0
Something To Dance For / TTYLXOX Mash-Up,"Zendaya, Bella Thorne",0
Hakuna Matata,"Nathan Lane, Ernie Sabella, Jason Weaver, Joseph Williams",3
Bibbidi-Bobbidi-Boo (The Magic Song),Helena Bonham Carter,3
Try Everything,Shakira,1
How Far I'll Go,Auli'i Cravalho,3
What's My Name,"China Anne McClain, Thomas Doherty, Dylan Playfair",1
Calling All the Monsters,China Anne McClain,0
Dynamite,China Anne McClain,1
Exceptional,China Anne McClain,1
"Cruisin' for a Bruisin' - From ""Teen Beach Movie""","Ross Lynch, Jason Evigan, Grace Phipps",1
It's Goin' Down,"Dove Cameron, Sofia Carson, Cameron Boyce, Booboo Stewart, China Anne McClain, Mitchell Hope, Thomas Doherty, Dylan Playfair",4
"Determinate - From ""Lemonade Mouth""","Adam Hicks, Bridgit Mendler, Naomi Scott, Hayley Kiyoko",0
This Is Me,"Demi Lovato, Joe Jonas",1
"Wouldn't Change a Thing - From ""Camp Rock 2: The Final Jam""","Demi Lovato, Joe Jonas",1
"Breaking Free - From ""High School Musical""/Soundtrack Version","Troy, Gabriella Montez",0
Magic,Selena Gomez,0
The Climb,Miley Cyrus,1
She's So Gone,Naomi Scott,1
"Can't Back Down - From ""Camp Rock 2: The Final Jam""","Demi Lovato, Alyson Stoner, Anna Maria Perez de Taglé, Char Ligera",1
"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version",Hannah Montana,1
Turn Up the Music,"Adam Hicks, Bridgit Mendler, Naomi Scott, Hayley Kiyoko, Blake Michael",1
TTYLXOX,Bella Thorne,1
Something To Dance For,Zendaya,0
Made In Japan,"Bella Thorne, Zendaya",1
Watch Me,"Bella Thorne, Zendaya, Cast of Shake It Up: Break It Down",1
"Shake It Up - From ""Shake It Up""",Selena Gomez,0
Up Up And Away,Blush,0
Our Generation,Sibel,1
Omat säännöt,Cheek,0
Uncover,Zara Larsson,3
Se tyttö,Mikael Gabriel,0
No Love,"Eminem, Lil Wayne",1
Onko sulla pokkaa,Petri Nygård,0
Sanon suoraan,Petri Nygård,0
Creatures Of The Night,"Hardwell, Austin Mahone",1
All I Ever Need,Austin Mahone,1
Say You're Just a Friend (feat. Flo Rida),"Austin Mahone, Flo Rida",1
Say Somethin',Austin Mahone,0
BUTTERFLY EFFECT,Travis Scott,1
I Don't Wanna Be In Love (Dance Floor Anthem),Good Charlotte,1
Take A Bow,Rihanna,3
Dangerous,"Kardinal Offishall, Akon",1
Do You Remember,"Jay Sean, Sean Paul, Lil Jon",1
Kiss Me Thru The Phone,"Soulja Boy, Sammie",1
Promiscuous,"Nelly Furtado, Timbaland",0
Day 'N' Nite (nightmare),Kid Cudi,0
Super Bass,Nicki Minaj,1
Sexy Can I (feat. Yung Berg),"Ray J, Yung Berg",4
Love In This Club (feat. Young Jeezy),"Usher, Jeezy",1
All Star,Smash Mouth,1
Shortie Like Mine (feat. Chris Brown & Johntá Austin),"Bow Wow, Chris Brown, Johnta Austin",4
Ain't It Fun,Paramore,1
DONTTRUSTME,3OH!3,4
My First Kiss (feat. Ke$ha),"3OH!3, Kesha",1
Hello - Single Edit,"Martin Solveig, Dragonette",1
Jump Around,House Of Pain,0
Poker Face,Lady Gaga,1
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1
So What,P!nk,0
Ice Ice Baby,Vanilla Ice,1
I Love It,"Icona Pop, Charli XCX",1
I Want It That Way,Backstreet Boys,0
Shake It Off,Taylor Swift,1
Say My Name,Destiny's Child,0
We No Speak Americano - Radio Edit,"Yolanda Be Cool, DCup",0
My Own Worst Enemy,Lit,1
What a Girl Wants,Christina Aguilera,1
"Because You Loved Me (Theme from ""Up Close and Personal"")",Céline Dion,3
I Will Always Love You,Whitney Houston,3
Pony,Ginuwine,0
Push,Matchbox Twenty,1
Tearin' up My Heart - Radio Edit,*NSYNC,1
Beautiful,Christina Aguilera,3
Dirrty (feat. Redman),"Christina Aguilera, Redman",4
Genie in a Bottle,Christina Aguilera,1
Hurt,Christina Aguilera,3
2000-2016 Mashup,Michael Constantino,1
90's & 2000's Mashup,Michael Constantino,4
2016 Mashup,Michael Constantino,1
Despacito Mashup,Michael Constantino,1
No One,Alicia Keys,0
If I Ain't Got You,Alicia Keys,3
Empire State of Mind (Part II) Broken Down,Alicia Keys,3
Naughty Girl,Beyoncé,4
Man! I Feel Like A Woman!,Shania Twain,1
Fuck Love,Iggy Azalea,1
Needed Me,Rihanna,4
Stars Dance,Selena Gomez,0
Fix a Heart,Demi Lovato,3
Revival,Selena Gomez,0
It Will Rain,Bruno Mars,1
Hate That I Love You,"Rihanna, Ne-Yo",0
Amnesia,5 Seconds of Summer,1
L.O.V.E.,Ashlee Simpson,0
Birthday Cake,Rihanna,1
Do Somethin',Britney Spears,1
Thinking Of You,Katy Perry,1
We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",3
You'll Always Find Your Way Back Home,Hannah Montana,1
Just A Little Bit Of Your Heart,Ariana Grande,3
I'm Like A Bird,Nelly Furtado,1
Unkiss Me,Maroon 5,1
See You Again - Rock Mafia Remix,Miley Cyrus,0
Ordinary Girl,Hannah Montana,1
"Onko Kirkkonummi hereillä, Pt. 2 - K.V.N & LOBO Remix",Likanen Etelä,4
Kirkkonummi joka päivä - Original,Likanen Etelä,4
Bap U,Party Favor,0
Neva Left,Snoop Dogg,1
Mount Sinai,$uicideBoy$,3
"Tykitys (feat. Are, Nikke Ankara, Ironine & Kajo)","Altis, 2nen, Are, Nikke Ankara, Ironine, KajO",4
420 (Blaze Up),"Snoop Dogg, Devin The Dude, Wiz Khalifa, DJ Battlecat",1
Nissan Micra 95,Yung Hilly,3
Moment I Feared,"Snoop Dogg, Rick Rock",1
Slut,Madchild,1
Fuck Tha Police,N.W.A.,4
Xxplosive,"Dr. Dre, Hittman, Six-Two, Nate Dogg, Kurupt",1
Still Cold / Pathway Private,Night Lovell,3
White Crime,Lil Dicky,3
Really Really,Kevin Gates,1
"How Many Times (feat. Chris Brown, Lil Wayne & Big Sean)","DJ Khaled, Chris Brown, Lil Wayne, Big Sean",0
Where Ya At (feat. Drake),"Future, Drake",4
Got Me,Roy Woods,0
Lollipop,"Lil Wayne, Static Major",1
Young Kobe,Tyga,4
Drinks On Us,"Mike WiLL Made-It, The Weeknd, Swae Lee, Future",4
LUV,Tory Lanez,0
Rack City,Tyga,4
Some Way,"NAV, The Weeknd",4
Cold,Post Malone,3
The Scientist,Coldplay,3
That Should Be Me - Acoustic Version,Justin Bieber,3
Mestaripiirros,Anna Puu,3
Hakuammuntaa,"Ida Paul & Kalle Lindroth, Ida Paul, Kalle Lindroth",3
Hetkeksi,YOUNGHEARTED,3
On Niin Paljon Mitä Menettää,Mikko Pohjola,0
Niagara,Jannika B,1
Valot pimeyksien reunoilla,Apulanta,1
Viljaa,PistePiste,3
Värifilmi,"Nikke Ankara, Aki Tykki",1
Laukauksia pimeään,Ida Paul,1
Kun olet poissa,Eppu Normaali,0
Vuonna '85,Eppu Normaali,0
Murheellisten Laulujen Maa,Eppu Normaali,0
Joka Päivä Ja Joka Ikinen Yö,Eppu Normaali,1
"Kitara, Taivas Ja Tähdet",Eppu Normaali,1
Vihreän Joen Rannalla (Kauan Sitten),Eppu Normaali,1
Tahroja paperilla,Eppu Normaali,0
Urheiluhullu,Eppu Normaali,0
Sama nainen (Vain elämää kausi 5),Anna Puu,3
Säännöt rakkaudelle,Anna Puu,3
Täydellisen epätäydellinen,Lucas,0
Nälkä (feat. Gracias),"Lucas, Gracias",0
Kyyneleet (feat. Sami Saari),"Cheek, Sami Saari",4
Älkää unohtako toisianne,Samuli Putro,3
Siivet,Teleks,0
Satasen laina,Nylon Beat,0
Vapaa,Kaija Koo,0
Kaunis rietas onnellinen,Kaija Koo,0
Vanhaa suolaa,Kaija Koo,0
Kuka keksi rakkauden,Kaija Koo,3
Pummilla Tallinnaan (feat. Mikko),"Tuomas Kauhanen, Mikko",0
1985,Tuomas Kauhanen,1
Vanha nainen hunningolla,Erin,3
Mä annan sut pois,ABREU,3
Kylmästä lämpimään,ABREU,0
Kukkurukuu,Mariska & Pahat Sudet,0
Järjetön rakkaus,Jesse Kaikuranta,1
Näytän sulle rannan,Jesse Kaikuranta,0
Vie mut kotiin,Jesse Kaikuranta,3
Syytön,Nylon Beat,1
Vapaus käteen jää,Haloo Helsinki!,1
Maailman Toisella Puolen,Haloo Helsinki!,1
Sinä & hän,Happoradio,0
Ihan hyvät ihmiset,Happoradio,1
Levoton tyttö,Anssi Kela,0
Enemmän duoo ku sooloo,Kuningasidea,0
Frankenstein,Chisu,1
Parempi mies (feat. Samuli Edelmann),"Cheek, Samuli Edelmann",0
Viistäköön siipeni maata,Elonkerjuu,1
Niille joil on paha olla,Cheek,0
Pahempi toistaan,Apulanta,1
Paha ihminen,Apulanta,1
Sokka irti,Cheek,1
Ei mitään hätää,Samuli Edelmann,0
Pettävällä Jäällä,"Yö, Annika Eklund",0
Niks ja naks,STIG,0
Viheltelen,STIG,0
Tänään Lähtee,Elokuu,4
Kolme pientä sanaa,Anna Puu,3
Before I Marry You,Kim Herold,1
Social Butterfly,Kim Herold,1
Paremmat päivät,Juha Tapio,1
Yhtä en saa,Jonna Tervomaa,0
Minä toivon,Jonna Tervomaa,1
Ravistettava ennen käyttöä,Apulanta,0
Let Go,"Redrama, Kristinia DeBarge",1
Forever Yours,Sunrise Avenue,1
I Help You Hate Me,Sunrise Avenue,1
Fairytale Gone Bad,Sunrise Avenue,0
Pauhaava sydän,Lauri Tähkä & Elonkerjuu,0
Viisaus ei asu meissä,Apulanta,0
I Don't Dance,Sunrise Avenue,0
Liekki,Mariska & Pahat Sudet,1
Julia,Neljänsuora,0
Molly the Murderer,Sturm und Drang,1
Kuka tahansa kelpaa,Samuli Putro,0
Levottomat Tuulet,Disco,0
Tuntematon potilas,Arttu Wiskari,0
Ei mitään hätää,Samuli Edelmann,0
Taivas itkee hiljaa - Single Edit,Jonne Aaron,3
Aito rakkaus,Juha Tapio,1
Armo,Apulanta,0
Vihdoin vapaa,"Kristal, Mikael Gabriel",1
Pätkätöis,Uniikki,4
Paska Kesä,Nost3 & Protro,1
Perhosefekti,Timi Lexikon,0
Jippikayjei,Cheek,0
Nainen jonka ympärille tuolit tuodaan,Haloo Helsinki!,1
Kymmenen kirosanaa,Irina,1
Kaikki tahtoo,Samuli Edelmann,0
Tähtipölyä,Samuli Edelmann,0
Enkeleitä toisillemme,Jope Ruonansuu,0
Sankarit,J. Karjalainen & Mustat Lasit,3
Pop-musiikkia,IDOLS-Finalistit 2007,1
Vielä on kesää jäljellä,Mamba,0
Odota,Aikakone,1
Vuosisadan rakkaustarina,Aikakone,1
Nti Groove,Aikakone,0
Keltainen,Aikakone,3
Alla vaahterapuun,Aikakone,1
Tulisitko,Aikakone,0
Sinä Lähdit Pois,Ultra Bra,0
Levottomat Tuulet,Disco,3
Ketä Sinä Odotat,Disco,1
Kemiaa,Neon 2,1
Hetkeksi en sulle rupia - Single Version,Lauri Tähkä & Elonkerjuu,1
Maailma On Renki,Lauri Tähkä & Elonkerjuu,0
Sinä ja minä,Dingo,1
Vasten auringon siltaa,Erin,3
Basket Case,Green Day,1
Losing My Religion,R.E.M.,0
A Girl Like You,Edwyn Collins,0
Erase / Rewind,The Cardigans,0
Pure Shores,All Saints,1
Ei yksinäinen unta saa,Neon 2,3
Lemon Tree,Fools Garden,3
Freestyler,Bomfunk MC's,2
The Real Slim Shady,Eminem,0
It's My Life,Bon Jovi,0
Butterfly,Crazy Town,0
How You Remind Me,Nickelback,1
Laura Jenna Ellinoora Alexandra Camilla Jurvanen,Leevi and the leavings,1
Miami,Will Smith,1
Tornado,Evelina,0
Tonight,"Cosmic Gate, Emma Hewitt",1
Älä jätä roikkuu,JVG,1
...Ready For It?,Taylor Swift,1
Hombre (feat. Vesala),"JVG, Vesala",0
All My Love (feat. Conor Maynard),"Cash Cash, Conor Maynard",0
If I'm Lucky,Jason Derulo,0
Matti & Teppo,JVG,1
Reggaetón Lento (Remix),"CNCO, Little Mix",0
Olisitpa sylissäni,Antti Ketonen,0
AYO,Isac Elliot,0
Feel Good,"Felix Jaehn, Mike Williams",1
What Lovers Do (feat. SZA),"Maroon 5, SZA",0
Crying in the Club,Camila Cabello,4
Kaikki mitä rakastin,LEO,0
The Way I Love Her,Stanaj,1
Kruunu tikittää (feat. TIPPA),"JVG, TIPPA",4
Day One,"Seksikäs-Suklaa, Prinssi Jusuf",0
Fuck They,Sofi Tukker,4
Can I Be Him,James Arthur,1
Rain,The Script,1
Place We Were Made,Maisie Peters,3
Everglow,Coldplay,3
Miljoona taalaa,"DEM, PistePiste, Maiki",4
Slussen,Gasellit,0
Mulla on hevonen,Horse Attack Sqwad,1
Running Back (feat. Lil Wayne),"Wale, Lil Wayne",1
"My Love (feat. Major Lazer, WizKid, Dua Lipa)","Wale, Major Lazer, WizKid, Dua Lipa",1
First Day Out,Tee Grizzley,4
BULIFLEIM,"PastoriPike, VilleGalle",4
Slav King,"DJ Blyatman, Life of Boris",3
Carry on Wayward Son,Kansas,1
Jabba Jabba,Bobby Summer,0
Virheistä kaunein,TCT,0
Too Good At Goodbyes - Edit,Sam Smith,3
Jocelyn Flores,XXXTENTACION,4
Since U Been Gone,Kelly Clarkson,0
Oops!...I Did It Again,Britney Spears,0
Kipua,Mikael Gabriel,0
Wrecking Ball,Miley Cyrus,3
Want U Back,Cher Lloyd,1
Domino,Jessie J,1
Me & My Girls,Selena Gomez,1
Obsessed,Mariah Carey,0
Fancy,"Iggy Azalea, Charli XCX",0
Roar,Katy Perry,0
Hard out Here,Lily Allen,0
Somewhere Only We Know,Lily Allen,3
I Don't Need A Man,The Pussycat Dolls,1
Fighter,Christina Aguilera,0
Single Ladies (Put a Ring on It),Beyoncé,4
Till the World Ends,Britney Spears,1
FU (feat. French Montana),"Miley Cyrus, French Montana",1
Jos mä oon oikee,SANNI,1
Hush Hush; Hush Hush,The Pussycat Dolls,0
Candyman,Christina Aguilera,0
Rock N Roll,Avril Lavigne,0
Chandelier,Sia,1
...Baby One More Time,Britney Spears,0
Diva,Beyoncé,4
I'm a Slave 4 U,Britney Spears,0
I Hate This Part,The Pussycat Dolls,1
Sugar,Maroon 5,1
"Independent Women, Pt. 1 - Pasadena Remix",Destiny's Child,4
Irreplaceable,Beyoncé,4
Pretty Girl Rock,Keri Hilson,0
Peacock,Katy Perry,1
Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa, P!nk",1
My Humps,Black Eyed Peas,4
If I Were a Boy,Beyoncé,1
Whip My Hair,WILLOW,0
Perfect Illusion,Lady Gaga,0
New Love,Maroon 5,0
Breakaway,Kelly Clarkson,0
Burnin' Up,Jonas Brothers,1
Tonight I’m Getting Over You,Carly Rae Jepsen,1
Do My Thang,Miley Cyrus,1
Break the Ice,Britney Spears,0
Black Skinhead,Kanye West,4
Mask Off (feat. Kendrick Lamar) - Remix,"Future, Kendrick Lamar",4
HeadBand (feat. 2 Chainz),"B.o.B, 2 Chainz",4
Fight Night,Migos,1
Start It Up,"Lloyd Banks, Kanye West, Swizz Beatz, Ryan Leslie, Fabolous",0
X Gon' Give It To Ya,DMX,0
Not Afraid,Eminem,0
Headsprung,LL Cool J,1
You Can Do It,"Ice Cube, Mack 10, Ms. Toi",0
Magic Stick,Lil' Kim,4
You Don't Know,"Eminem, 50 Cent, Ca$his, Lloyd Banks",0
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),"Chris Brown, Lil Wayne, Busta Rhymes",0
Big For Your Boots,Stormzy,4
Too Many Years,"Kodak Black, PnB Rock",0
Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travis Scott, Yo Gotti, Quavo, Desiigner",0
Bad and Boujee (feat. Lil Uzi Vert),"Migos, Lil Uzi Vert",4
rockstar,"Post Malone, 21 Savage",0
Sinä ansaitset kultaa (Vain elämää kausi 7),Cheek,0
Maailman Laidalla,"Mikael Gabriel, Isac Elliot",1
Look What You Made Me Do,Taylor Swift,0
My Life Would Suck Without You,Kelly Clarkson,1
He Said She Said,Ashley Tisdale,0
Beautiful Girls - Radio Disney Version,Sean Kingston,1
Mr. Vain Recall - Radio Edit,Culture Beat,1
Teenage Dirtbag,Wheatus,1
Lambada - Single Version,Kaoma,0
Around the World (La La La La La) - Radio Version,"A Touch Of Class, Pete Konemann",0
Move Ya Body,"Nina Sky, Jabba",0
We Will Rock You - Remastered,Queen,3
Drive,The Cars,1
Smalltown Boy,Bronski Beat,3
"Loca People (What the F**k!"") - Radio Edit",Sak Noel,0
The Way I Are,Timbaland,2
It's My Life,No Doubt,0
The Ballad of Mona Lisa,Panic! At The Disco,0
Someday (I Will Understand),Britney Spears,3
Roulette,Katy Perry,0
"Kynnet, Kynnet","Pyhimys, Vesta",3
Good Old Days (feat. Kesha),"Macklemore, Kesha",3
Marry Me,Jason Derulo,1
Need You Now,Lady A,1
If I Had You,Adam Lambert,0
Lentäjän poika,Edu Kettunen,3
What About Us,"The Saturdays, Sean Paul",1
Rannalle,"TCT, Jontte Valosaari",0
Just Friends,"G-Eazy, phem",4
Valitsemaanne Numeroon (feat. Vesta),"Töölön Ketterä, Vesta",0
Wolves,"Selena Gomez, Marshmello",0
10 Feet Down,"NF, Ruelle",4
Let You Down,NF,0
New,Daya,1
Meant to Be (feat. Florida Georgia Line),"Bebe Rexha, Florida Georgia Line",1
Gorgeous,Taylor Swift,4
Bad At Love,Halsey,1
Almost Famous,G-Eazy,0
Lähen menee (feat. Reino Nordin),"JVG, Reino Nordin",1
I Fall Apart,Post Malone,0
Me You,Russ,1
Makia,OG Ulla-Maija,4
Jonkun Ex,"IKE, Elastinen",1
The Spectre,Alan Walker,0
Phases,"ALMA, French Montana",1
Paris Hilton,Aste,1
<3,ibe,3
Beam Me Up (Kill Mode) (Original Mix),CAZZETTE,1
Papi,Jennifer Lopez,0
SexyBack,"Justin Timberlake, Timbaland",0
Calabria - Firebeatz Remix,"Rune RK, Firebeatz",2
I Mean It,"G-Eazy, Remo",1
One More Night,Maroon 5,0
Payphone,"Maroon 5, Wiz Khalifa",1
Antidote - Radio Edit,"Swedish House Mafia, Knife Party",1
Young Blood,The Naked And Famous,1
Chandelier (feat. Lauriana Mae),"B.o.B, Lauriana Mae",0
Cannonball (Radio Edit),Showtek & Justin Prime,2
Long Live A$AP,A$AP Rocky,4
Forgot About Dre,"Dr. Dre, Eminem",1
Molly,"Tyga, Cedric Gervais, Wiz Khalifa, Mally Mall",1
Thinking About You (feat. Ayah Marar),"Calvin Harris, Ayah Marar",0
Dang! (feat. Anderson .Paak),"Mac Miller, Anderson .Paak",4
Willy Wonka (feat. Offset),"Macklemore, Offset",0
Frick Da Police,Ricegum,1
God Church,Ricegum,4
Outta My Hair,Logan Paul,0
Help Me Help You (feat. Why Don't We),"Logan Paul, Why Don't We",4
2016,Logan Paul,0
It's Everyday Bro,"Jake Paul, Team 10",4
Sweatshirt,Jacob Sartorius,3
Dead,Madison Beer,0
Unbreakable,Madison Beer,1
I'm Not The Only One,Sam Smith,3
Faded,ZHU,0
Body Language,"Kid Ink, Usher, Tinashe",0
Foreign Remix (feat. Justin Bieber),"Trey Songz, Justin Bieber",0
No Flex Zone,Rae Sremmurd,1
Best Mistake,"Ariana Grande, Big Sean",4
Habits (Stay High) - The Chainsmokers Extended Mix,"Tove Lo, The Chainsmokers",1
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar",4
Don't Let Me Down (feat. Daya) - W&W Remix,"The Chainsmokers, Daya, W&W",0
Complicated (feat. Kiiara) - Diego Miranda & Wolfpack Remix,"Dimitri Vegas & Like Mike, David Guetta, Kiiara, Diego Miranda, Wolfpack",1
Are You with Me - Dimaro Radio Edit,Lost Frequencies,0
En halua tietää,Antti Tuisku,4
En kommentoi,Antti Tuisku,1
Go Flex,Post Malone,3
Gucci Gang,Lil Pump,4
Fuck Love (feat. Trippie Redd),"XXXTENTACION, Trippie Redd",0
XO Tour Llif3,Lil Uzi Vert,4
Swang,Rae Sremmurd,3
American Teen,Khalid,1
Do What I Want,Lil Uzi Vert,1
"Nihee (feat. IBE, Deezydavid)","JVG, DeezyDavid, ibe",1
rockstar,"Post Malone, 21 Savage",0
Feeling Myself,"Nicki Minaj, Beyoncé",1
All About You,Hilary Duff,1
Breaking Free,"Troy, Gabriella",0
Code Lyoko 'A World Without Danger' For Orchestra,Walt Ribeiro,2
Ekstaasiin,Gabriel Lion,1
Love Song,Sara Bareilles,0
Love In This Club,"Usher, Jeezy",1
With You,Chris Brown,1
See You Again,Miley Cyrus,0
Crank That (Soulja Boy) [Travis Barker Remix],"Soulja Boy, Travis Barker",1
Boom Boom Pow,Black Eyed Peas,1
Poker Face,Lady Gaga,1
Just Dance,"Lady Gaga, Colby O'Donis",0
Love Story,Taylor Swift,1
I'm Yours,Jason Mraz,3
Single Ladies (Put a Ring on It) - Dave Audé Remix - Club Version,"Beyoncé, Dave Audé for Awestruck Productions, Inc.",2
Gives You Hell,The All-American Rejects,1
Dead And Gone - feat. Justin Timberlake,"T.I., Justin Timberlake",4
Use Somebody,Kings of Leon,1
You Found Me,The Fray,0
Down,"Jay Sean, Lil Wayne",1
Best I Ever Had,Drake,4
My Life Would Suck Without You,Kelly Clarkson,1
LoveGame,Lady Gaga,0
Sober,P!nk,1
Birthday Sex,Jeremih,0
"Hey, Soul Sister",Train,0
Eurovisioit,"ibe, Kube",4
Sokeri,"ibe, Cledos",4
Go Flex,Post Malone,3
Candy Paint,Post Malone,3
Walk On Water (feat. Beyoncé),"Eminem, Beyoncé",3
No Limit,"G-Eazy, A$AP Rocky, Cardi B",4
Ric Flair Drip (& Metro Boomin),"Offset, Metro Boomin",4
Tää On Se Maa,Pasi ja Anssi,0
Nössö,"Petri Nygård, Vesku Jokinen",1
En sun kaa (feat. Bizi),"JVG, Bizi",0
Stranger Things (feat. OneRepublic),"Kygo, OneRepublic",1
Jump Out The Window,Big Sean,1
Ghostface Killers,"21 Savage, Offset, Metro Boomin, Travis Scott",3
Rap Saved Me,"21 Savage, Offset, Metro Boomin, Quavo",2
All Falls Down (feat. Juliander),"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander",1
Savage,Artem x Yonas,1
Still Serving,"21 Savage, Offset, Metro Boomin",1
Carry You Home,"Tiësto, Stargate, Aloe Blacc",1
Gucci Gang,Lil Pump,1
Molly (feat. Brendon Urie of Panic at the Disco),"Lil Dicky, Brendon Urie",1
STARSTRUKK (feat. Katy Perry),"3OH!3, Matt Squire",0
Tyhjässä Huoneessa - Vain Elämää Kausi 5,Mikael Gabriel,0
Kuolevainen,Johanna Kurkela,3
Sä huudat,Cheek,0
Teit meistä kauniin,Samuli Edelmann,1
Irti,Elias Kaskinen & Päivän Sankarit,1
Let Me Go,"Avril Lavigne, Chad Kroeger",1
Get Right,Jennifer Lopez,0
Tattoo,Jordin Sparks,1
I Do Not Hook Up,Kelly Clarkson,1
What You Waiting For?,Gwen Stefani,1
One Step At a Time,Jordin Sparks,1
Kunhan muut ei tiedä,Ida Paul,1
Hätähuuto,"Brädi, Toni Wirtanen",1
Kiss N Tell,Kesha,1
Lose My Breath,Destiny's Child,1
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),"Shakira, Freshlyground",0
Kissin U,Miranda Cosgrove,0
Still into You,Paramore,1
Stone Cold,Demi Lovato,3
Enkeli (feat. Väinöväinö),"Tuomas Kauhanen, Väinöväinö",0
You Don't Own Me (feat. G-Eazy),"SAYGRACE, G-Eazy",1
On My Own,Miley Cyrus,0
How We Do (Party),Rita Ora,1
Perfume,Britney Spears,3
Ehjä,Mikko Harju,3
Hard,"Rihanna, Jeezy",1
DNA,Little Mix,0
They Don't Know About Us,One Direction,1
Walking On Air,Katy Perry,0
Slumber Party feat. Tinashe,"Britney Spears, Tinashe",1
Something That We're Not,Demi Lovato,1
Rumors - Main,Lindsay Lohan,0
Kun tää loppuu,"Ida Paul & Kalle Lindroth, Ida Paul, Kalle Lindroth",3
I Love Rock 'N' Roll,Britney Spears,1
Live While We're Young,One Direction,1
When You Look Me In The Eyes,Jonas Brothers,1
You & I,One Direction,3
Leijonakuningas,Ellinoora,3
Put Your Hearts Up,Ariana Grande,1
Rock Star,Hannah Montana,1
I Wish (feat. T.I.),"Cher Lloyd, T.I.",0
Jos Sä Oot Mun,YOUNGHEARTED,3
Vihaan kyllästynyt,Haloo Helsinki!,0
Shut Up,Black Eyed Peas,4
Onnellinen,Robin,1
Brokenhearted,Karmin,0
Some Nights,fun.,1
Vogue,Madonna,1
With Ur Love (feat. Mike Posner),"Cher Lloyd, Mike Posner",1
Etsi mut,Aleksanteri Hakaniemi,1
Girl On Fire (feat. Nicki Minaj) - Inferno Version,"Alicia Keys, Nicki Minaj",4
Boys Boys Boys,Lady Gaga,1
Jano,"Tuomas Kauhanen, Janna",0
Joutsenet,PMMP,1
Next To You (feat. Justin Bieber),"Chris Brown, Justin Bieber",1
Good Girl,Carrie Underwood,0
Where Is The Love?,Black Eyed Peas,1
Jumala (Vain elämää kausi 7),Cheek,3
Two More Lonely People,Miley Cyrus,1
Goodbye Song,MKTO,1
Cry Baby,Melanie Martinez,0
Billionaire (feat. Bruno Mars),"Travie McCoy, Bruno Mars",4
Kiinni (feat. Kasmir),"SANNI, Kasmir",3
Olet puolisoni nyt,Samuli Putro,1
Paranoid,Jonas Brothers,1
Pyydä multa anteeks kunnolla,Antti Tuisku,0
Sydäntä särkee,Erin,3
Love Sex Magic (feat. Justin Timberlake),"Ciara, Justin Timberlake",0
Oota Mua,"Elastinen, Johanna Kurkela",0
Why Not,Hilary Duff,1
Peruskallio,Aste,1
American Boy (feat. Kanye West),"Estelle, Kanye West",4
Tuuleksi Taivaanrantaan - Vain Elämää Kausi 6,Robin,0
Summertime Sadness,Lana Del Rey,0
Good Girl Gone Bad,Rihanna,0
My Love,"Justin Timberlake, T.I.",4
Jos vain voisin (feat. Sophie),"Pikku G, Sophie",1
Big Girls Cry,Sia,1
Ei (Vain elämää kausi 4),SANNI,0
Kavereita,SINI YASEMIN,3
Who's That Chick? (feat. Rihanna),David Guetta,0
Talking to the Moon,Bruno Mars,3
Kiss You,One Direction,1
Monster,Lady Gaga,0
Haluan sun palaavan - MGI Remix,Robin,3
Hetken maailma on tässä,PistePiste,1
Kipua (Vain elämää kausi 5),Lauri Tähkä,1
Whiplash,Selena Gomez & The Scene,1
Supernova,SANNI,1
Jealous - Remix,"Nick Jonas, Tinashe",0
Scars To Your Beautiful,Alessia Cara,1
Material Girl,Madonna,1
Mökkitie,Arttu Wiskari,3
Lupaan tulla pelastaa,Robin,1
People Like Us,Kelly Clarkson,1
