song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Heavy (feat. Kiiara),"Linkin Park, Kiiara",0.59,0.671,9,-6.098,1,0.0706,0.0484,0.0,0.0604,0.438,149.982
What I've Done,Linkin Park,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119
Let's Get Ridiculous,Redfoo,0.651,0.938,5,-0.418,0,0.072,0.147,0.0,0.0755,0.665,127.993
Cola Song (feat. J Balvin),"INNA, J Balvin",0.793,0.896,7,-3.072,1,0.0417,0.0136,1.08e-05,0.105,0.842,125.063
Juicy Wiggle,Redfoo,0.732,0.963,0,-3.072,1,0.0593,0.142,3.79e-05,0.0942,0.735,128.035
Purppura,Kube,0.593,0.592,8,-6.562,0,0.167,0.129,9.29e-06,0.108,0.0413,169.942
Duuni,"Kube, Adi L Hasla, Mäkki",0.816,0.742,4,-8.018,0,0.267,0.00623,0.0,0.453,0.478,96.0
Vesa Keskinen,"Seksikäs-Suklaa, Dosdela",0.869,0.521,1,-7.183,1,0.111,0.0348,0.0,0.298,0.481,138.039
Such A Boy,Astrid S,0.659,0.781,6,-5.143,0,0.122,0.0573,2.06e-06,0.0832,0.458,94.98
F*cked It Up,"Rony Rex, LCMDF",0.633,0.867,7,-4.389,1,0.0422,0.0181,0.00085,0.0777,0.226,125.026
Some Kind Of Drug (feat. Marc E. Bassy),"G-Eazy, Marc E. Bassy",0.586,0.525,0,-8.968,1,0.498,0.0705,0.0,0.0729,0.491,126.51
Sä Et Oo Mun Veli,Mikael Gabriel,0.759,0.822,0,-6.866,0,0.458,0.529,0.0,0.0873,0.819,125.053
How to Love (feat. Sofia Reyes) - Boombox Cartel Remix,"Cash Cash, Sofia Reyes, Boombox Cartel",0.548,0.895,9,-1.988,0,0.102,0.11,0.0,0.0816,0.682,150.122
Glorious (feat. Skylar Grey),"Macklemore, Skylar Grey",0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994
Fabulous,"KOI, Nelli Matula",0.8,0.864,5,-4.687,0,0.0609,0.15,0.000165,0.257,0.92,124.99
Party's Over,Astrid S,0.632,0.517,7,-7.852,0,0.0864,0.384,0.0,0.497,0.594,122.846
Fresh Air,Future,0.817,0.526,0,-7.426,0,0.127,0.0223,0.0,0.192,0.419,125.014
YOUTH,Troye Sivan,0.628,0.737,7,-4.437,1,0.041,0.0625,0.0,0.0777,0.592,91.507
FOOLS,Troye Sivan,0.292,0.678,10,-5.595,1,0.0724,0.192,0.0,0.146,0.365,87.436
WILD,"Troye Sivan, Alessia Cara",0.622,0.807,0,-5.1,0,0.0784,0.0916,0.0,0.205,0.516,93.962
The Fault in Our Stars,Troye Sivan,0.481,0.179,3,-21.424,1,0.109,0.613,2.84e-05,0.145,0.405,74.85
Gorilla (feat. Mahku),"Slim Mill, Mahku",0.917,0.657,9,-8.947,0,0.182,0.15,0.00195,0.153,0.759,130.071
Smack That,"Akon, Eminem",0.94,0.743,5,-5.166,0,0.0475,0.317,0.0,0.0909,0.932,118.988
Leposyke 300,Mouhous,0.933,0.741,2,-5.055,1,0.0719,0.214,5.15e-05,0.0704,0.873,117.988
Eikö Sua Hävetä,Tuure Boelius,0.8,0.569,0,-3.838,1,0.07,0.107,0.0,0.0369,0.76,147.042
EYO (feat. Nelli Matula),"Profeetat, Cheek, Elastinen, Nelli Matula",0.588,0.808,6,-4.809,1,0.0318,0.0078,0.0,0.32,0.339,94.974
Pane mut sekasin,Aleksanteri Hakaniemi,0.78,0.904,10,-5.025,0,0.0707,0.056,0.0,0.0482,0.964,139.988
Vaikee Mut Oikee,"Janna, Nikke Ankara",0.621,0.701,5,-4.436,0,0.239,0.0972,0.0,0.359,0.692,177.89
Pipefest (feat. Paleface),"Profeetat, Cheek, Elastinen, Paleface",0.627,0.928,4,-3.988,0,0.303,0.0253,0.0,0.755,0.552,95.096
Without You (feat. Sandro Cavazza),"Avicii, Sandro Cavazza",0.652,0.855,2,-4.832,1,0.0441,0.00179,0.0,0.0404,0.279,134.009
New Rules,Dua Lipa,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073
xDlsd Juna (feat. Jedidi & Mahku),"Slim Mill, Jedidi, Mahku",0.899,0.675,8,-8.94,1,0.0835,0.587,1.15e-06,0.126,0.618,101.998
Takaperin (feat. Mahku),"Slim Mill, Mahku",0.84,0.617,1,-9.218,1,0.294,0.0352,0.086,0.187,0.329,159.947
Katarina (feat. Mahku),"Slim Mill, Mahku",0.936,0.372,8,-23.212,0,0.314,0.283,1.1e-05,0.0869,0.833,119.991
Jumis Hissis (feat. Mahku),"Slim Mill, Mahku",0.893,0.635,0,-7.714,1,0.0457,0.0638,0.000121,0.0814,0.489,121.94
Ajax (feat. Mahku),"Slim Mill, Mahku",0.901,0.824,1,-7.031,1,0.0734,0.135,0.000896,0.139,0.232,125.026
Vitamiini (feat. Fatboy L & Young Manager),"Slim Mill, Fatboy L, Young Manager",0.88,0.458,1,-8.575,1,0.0565,0.103,2.12e-06,0.127,0.0574,104.998
"Pullopantti (feat. Lännen Liinein, Kielijuhani, Alis, Mvd Jeyson, Asap Vergi & Vaahteramäen Nege)","Slim Mill, Lännen Liinein, Kielijuhani, Alis, Mvd Jeyson, Asap Vergi, Vaahteramäen Nege",0.837,0.717,11,-8.6,1,0.0941,0.0654,3.71e-05,0.0654,0.944,150.045
Tuplapotti,Slim Mill,0.936,0.669,10,-6.566,1,0.144,0.127,0.0,0.392,0.641,131.021
Kebab (feat. Fatboy L & Asap Vergi),"Slim Mill, Fatboy L, Asap Vergi",0.878,0.648,0,-7.275,1,0.159,0.146,0.00462,0.187,0.783,120.046
Nacci,Slim Mill,0.858,0.585,1,-6.156,1,0.077,0.12,3.18e-06,0.107,0.587,123.022
Ugly God (feat. Mahku),"Slim Mill, Mahku",0.673,0.36,1,-15.588,1,0.255,0.478,0.00716,0.327,0.164,71.902
Slim Mill - Kananuudeli,"Slim Mill, Lil Sage x JustSeAbu x MVD J€¥$ON",0.884,0.754,1,-7.866,1,0.0472,0.0455,0.142,0.257,0.764,129.995
Bank Account,21 Savage,0.884,0.346,8,-8.228,0,0.351,0.0151,7.04e-06,0.0871,0.376,75.016
Marmalade (feat. Lil Yachty),"Macklemore, Lil Yachty",0.922,0.583,5,-4.982,1,0.0753,0.0098,0.0,0.0962,0.494,136.043
Her Name (feat. Andy Marsh),"Magnace, LuxLyfe, Andy Marsh",0.458,0.748,9,-5.374,1,0.0516,0.0544,1.18e-06,0.0623,0.183,150.161
Silence,"Marshmello, Khalid",0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971
Lääkitys kunnossa,Janne Ordén,0.695,0.77,7,-5.927,1,0.127,0.39,0.0,0.281,0.814,97.991
Friends (with BloodPop®),"Justin Bieber, BloodPop®",0.744,0.739,8,-5.35,1,0.0387,0.00459,0.0,0.306,0.649,104.99
Murhaaja,"DEM, PistePiste, Maiki",0.685,0.621,6,-4.55,1,0.131,0.00458,0.0,0.374,0.634,94.825
Text Ur Number (feat. DJ Sliink & Fetty Wap),"DJ Envy, DJ Sliink, Fetty Wap",0.692,0.784,8,-5.349,1,0.0553,0.021,1.43e-05,0.414,0.737,139.95
Its Every Night Sis,"Ricegum, Alissa Violet",0.887,0.784,8,-5.598,1,0.199,0.0244,0.0,0.112,0.408,98.984
What About Us,P!nk,0.386,0.594,1,-6.186,1,0.0565,0.0254,3.03e-06,0.0873,0.187,113.843
do re mi (feat. Gucci Mane),"blackbear, Gucci Mane",0.746,0.647,8,-6.388,1,0.052,0.007,0.0,0.156,0.196,112.015
1-800-273-8255,"Logic, Alessia Cara, Khalid",0.622,0.593,5,-7.755,0,0.0414,0.56,0.0,0.175,0.369,100.048
Perplexing Pegasus,Rae Sremmurd,0.897,0.448,1,-8.874,1,0.0766,0.000725,1.17e-05,0.365,0.316,145.971
Gangsta's Paradise (feat. L.V.),"Coolio, L.V.",0.641,0.63,8,-6.393,1,0.0521,0.0372,0.0,0.4,0.415,79.955
Numb,21 Savage,0.839,0.437,5,-11.344,0,0.285,0.0438,2.75e-06,0.131,0.464,82.008
GO 2.0,"Burak Yeter, Ryan Riback",0.673,0.649,5,-6.483,1,0.0525,0.0883,0.000133,0.0655,0.38,94.999
Young Dumb & Broke,Khalid,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949
Juna kulkee part. 2 (feat. SLS),"Sairas T, SLS",0.691,0.753,7,-6.228,1,0.151,0.141,0.0,0.336,0.237,156.12
Ooh Ahh (My Life Be Like) (feat. Toby Mac),"Grits, TobyMac",0.756,0.855,2,-3.529,1,0.0669,0.136,0.00028,0.302,0.811,99.02
Forget About Me,Night Lovell,0.697,0.893,1,-2.153,1,0.0459,0.111,0.000484,0.272,0.176,114.968
Mirrors - Radio Edit,Justin Timberlake,0.578,0.6,8,-5.7,1,0.0455,0.144,0.0,0.426,0.646,76.999
Paris,$uicideBoy$,0.85,0.649,7,-6.188,1,0.0827,0.074,0.00519,0.0976,0.199,106.075
A Lie,"French Montana, The Weeknd, Max B",0.516,0.792,1,-5.38,0,0.216,0.0235,0.0,0.404,0.524,121.189
Down For Me (feat. 24hrs),"G-Eazy, Carnage, 24hrs",0.545,0.601,1,-7.85,0,0.298,0.0454,0.0,0.164,0.346,95.848
The Way Life Goes (feat. Oh Wonder),"Lil Uzi Vert, Oh Wonder",0.703,0.757,1,-3.612,1,0.05,0.617,0.0,0.106,0.696,82.008
Sauce It Up,Lil Uzi Vert,0.813,0.528,6,-6.305,0,0.313,0.0715,0.0,0.125,0.131,79.532
444+222,Lil Uzi Vert,0.791,0.513,10,-6.568,0,0.269,0.0235,2.83e-05,0.101,0.481,76.997
Two®,Lil Uzi Vert,0.266,0.642,7,-5.133,1,0.0694,0.424,0.0,0.0943,0.0371,75.022
Sad Song (feat. Elena Coats),"We The Kings, Elena Coats",0.512,0.559,1,-5.498,1,0.0253,0.0843,0.0,0.0696,0.193,85.017
Fuckboi,Joseph,0.797,0.707,10,-6.316,0,0.275,0.197,0.0,0.481,0.778,146.075
Elämästä irti,Mikael Gabriel,0.45,0.717,11,-5.308,0,0.131,0.00928,0.0,0.336,0.284,94.005
Kangastuksii,"DEM, PistePiste, Maiki",0.632,0.64,8,-5.893,1,0.045,0.0153,1.87e-06,0.245,0.155,105.94
Rakasta mut palasiks (feat. Reino Nordin),"Bang For The Buck, Reino Nordin",0.853,0.698,6,-4.671,0,0.0378,0.0799,0.0,0.161,0.617,120.008
Kaikki ok,"Ideaali & Jay Who?, Henna Narva",0.749,0.834,2,-5.065,1,0.0637,0.312,0.0,0.0981,0.637,98.051
Little Do You Know,Evang,0.542,0.679,2,-10.476,1,0.299,0.193,0.0,0.332,0.29,133.398
Never Letting Go,Tim McMorris,0.541,0.323,10,-8.073,1,0.0285,0.717,0.0,0.0884,0.226,140.03
Perfect,Ed Sheeran,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05
Best I Ever Had,Drake,0.457,0.855,1,-4.877,1,0.382,0.204,0.0,0.28,0.59,162.164
It's Gotta Be You,Isaiah Firebrace,0.322,0.733,8,-4.905,1,0.045,0.223,0.0,0.11,0.585,92.133
Eilisen aurinko,Aurora,0.735,0.619,8,-7.338,0,0.0468,0.0788,0.0,0.35,0.816,88.045
Aseeton,Kliff,0.641,0.489,7,-7.39,1,0.0268,0.416,0.0,0.124,0.19,113.933
I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",0.735,0.451,0,-8.374,1,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973
Young And Beautiful,Lana Del Rey,0.324,0.416,11,-8.92,0,0.0368,0.262,3.69e-05,0.11,0.151,113.986
Say You Won't Let Go,James Arthur,0.4,0.564,10,-7.444,1,0.0523,0.693,0.0,0.0863,0.483,99.269
Mä olen tässä,Mikko Harju,0.615,0.482,0,-7.005,0,0.0231,0.466,0.000605,0.11,0.34,99.901
Rakasta mua nyt,Haloo Helsinki!,0.504,0.783,0,-6.039,1,0.0336,0.00563,0.000195,0.297,0.459,139.646
Minä suojelen sinua kaikelta,Ellinoora,0.537,0.536,4,-6.109,1,0.0263,0.0408,4.02e-06,0.293,0.236,134.004
Kuuluuks (feat. Janna & Gracias),"Juno, Janna, Gracias",0.787,0.823,11,-7.19,0,0.119,0.127,0.0,0.0877,0.817,119.902
Texas Sex Ranger (feat. Eino Antiwäkki),"Jumal X10 Lavis, Eino Antiwäkki",0.78,0.59,2,-3.537,1,0.0513,0.0615,0.0,0.107,0.0346,94.036
I Got Bitches,A2M,0.968,0.785,7,-8.084,0,0.32,0.464,4.7e-06,0.272,0.803,119.953
Pahat pimut,"Mäkki, Kube",0.703,0.559,11,-10.626,0,0.359,0.391,0.000116,0.123,0.591,192.029
Mitäpä tässä,Yksi Totuus,0.74,0.783,0,-6.043,0,0.0563,0.154,0.0,0.28,0.864,110.031
Instruction,"Jax Jones, Demi Lovato, Stefflon Don",0.77,0.932,9,-3.062,0,0.193,0.0939,0.0,0.0947,0.921,121.075
JJani - Muovii ft PistePiste,"JJani, PistePiste",0.792,0.533,1,-9.737,1,0.187,0.0208,0.0,0.103,0.315,115.0
Don't Hurt Me,"Mustard, Nicki Minaj, Jeremih",0.643,0.465,8,-10.562,1,0.461,0.107,0.0,0.0857,0.505,126.79
All In,Emil Assergård,0.721,0.714,11,-5.721,1,0.128,0.282,0.0,0.353,0.72,131.021
Still Breathing,Green Day,0.54,0.902,1,-3.577,1,0.0442,0.0142,0.0,0.0756,0.692,75.033
Bambi,Henriguez,0.662,0.772,5,-6.376,0,0.0434,0.13,0.0,0.0833,0.632,155.011
Look What You Made Me Do,Taylor Swift,0.767,0.671,9,-6.416,0,0.142,0.21,1.12e-05,0.129,0.474,128.072
Havana,"Camila Cabello, Young Thug",0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992
Sorry Not Sorry,Demi Lovato,0.695,0.632,11,-6.922,0,0.261,0.0264,0.0,0.252,0.86,143.794
New Rules,Dua Lipa,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073
Lonely Together (feat. Rita Ora),"Avicii, Rita Ora",0.648,0.667,2,-5.294,0,0.065,0.137,2.1e-05,0.0797,0.217,102.966
OMG (feat. Quavo),"Camila Cabello, Quavo",0.655,0.576,5,-6.735,0,0.0536,0.0295,0.115,0.132,0.167,139.953
Would You Ever,"Skrillex, Poo Bear",0.653,0.91,10,-3.36,1,0.0566,0.0079,0.0,0.318,0.0921,126.047
I Like Me Better,Lauv,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97
Mi Gente,"J Balvin, Willy William",0.548,0.701,11,-4.862,0,0.0914,0.0178,1.34e-05,0.134,0.309,104.237
Feel It Still,Portugal. The Man,0.78,0.798,1,-5.151,0,0.0613,0.0406,6.31e-05,0.0733,0.771,78.969
Why,Sabrina Carpenter,0.669,0.561,11,-4.923,0,0.209,0.157,0.0,0.0739,0.604,180.044
Bodak Yellow,Cardi B,0.929,0.723,11,-5.792,0,0.109,0.0672,0.0,0.346,0.458,125.022
Love Galore,"SZA, Travis Scott",0.795,0.594,0,-6.2,1,0.0747,0.111,0.0,0.162,0.409,135.002
Praying,Kesha,0.576,0.39,10,-7.202,1,0.0297,0.491,0.0,0.111,0.319,73.433
Questions,Chris Brown,0.614,0.598,10,-6.335,0,0.0561,0.00543,0.0,0.1,0.565,105.803
Unforgettable,Thomas Rhett,0.66,0.745,7,-5.499,1,0.0307,0.0294,0.0002,0.0831,0.828,130.074
Think Before I Talk,Astrid S,0.775,0.597,5,-5.666,1,0.159,0.36,0.0,0.156,0.537,122.069
Hold Me,R3HAB,0.604,0.688,5,-7.411,0,0.0562,0.0945,0.0,0.14,0.349,145.072
Complicated (feat. Kiiara),"Dimitri Vegas & Like Mike, David Guetta, Dimitri Vegas, Kiiara",0.678,0.819,8,-3.306,1,0.0313,0.191,0.0,0.159,0.499,90.004
As Crazy As You Are - Edit,FROIDZ,0.516,0.746,8,-5.68,1,0.104,0.265,0.0,0.113,0.781,104.529
Rudeboy,SONNY,0.638,0.632,0,-5.891,1,0.158,0.206,0.0,0.299,0.348,85.419
I Wonder,"The Him, LissA",0.767,0.51,11,-8.72,0,0.064,0.0631,0.000566,0.109,0.389,100.02
All Stars,"Martin Solveig, ALMA",0.775,0.722,1,-3.502,1,0.0463,0.151,0.000724,0.058,0.649,124.037
Get Low (with Liam Payne),"Zedd, Liam Payne",0.718,0.926,1,-3.511,1,0.0494,0.027,1.76e-05,0.0513,0.54,108.018
UAE,Jay Alvarrez,0.649,0.568,5,-8.497,0,0.039,0.0387,0.0443,0.344,0.417,144.02
Sex on Fire,Kings of Leon,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398
What a Girl Wants,Pia Mia,0.524,0.6,2,-4.777,0,0.0536,0.0792,0.0,0.307,0.607,130.31
Me Tehtiin Tää,Robin,0.599,0.658,0,-5.344,0,0.0372,0.0402,0.0,0.164,0.418,94.948
Aamukuuteen (feat. Erin),"Antti Tuisku, Erin",0.717,0.699,8,-5.469,1,0.0597,0.306,0.000647,0.0794,0.595,102.064
Juoppokuski,"Mäkki, Arttu Wiskari",0.537,0.901,0,-4.636,1,0.136,0.294,0.0,0.221,0.575,131.054
Syliin,"Vilma Alina, Jon-Jon",0.646,0.425,11,-9.765,0,0.0756,0.401,0.0,0.114,0.37,123.867
"Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","Nick Jonas, Nicki Minaj",0.468,0.515,6,-6.578,1,0.0665,0.145,0.0,0.132,0.187,86.21
6K,Mikael Gabriel,0.8,0.694,0,-6.338,0,0.0573,0.000529,4.85e-05,0.389,0.182,144.94
Reminder - Remix,"The Weeknd, A$AP Rocky, Young Thug",0.748,0.652,0,-5.904,0,0.207,0.151,0.0,0.109,0.511,160.051
That's It (feat. Gucci Mane & 2 Chainz),"Bebe Rexha, Gucci Mane, 2 Chainz",0.783,0.361,0,-7.949,0,0.1,0.0474,0.00762,0.0861,0.413,75.0
Water,Jack Garratt,0.583,0.609,0,-8.561,1,0.0504,0.0254,0.5,0.241,0.189,136.035
Scary Monsters and Nice Sprites,Skrillex,0.528,0.945,7,-3.386,0,0.0928,0.0034,0.505,0.115,0.308,139.987
Bangarang (feat. Sirah),"Skrillex, Sirah",0.716,0.972,7,-2.302,1,0.196,0.0145,3.22e-05,0.317,0.576,110.026
Either Way (feat. Joey Bada$$),"Snakehips, Anne-Marie, Joey Bada$$",0.635,0.659,8,-4.92,1,0.155,0.309,0.0,0.302,0.54,178.018
Bubblegum Bitch,MARINA,0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,158.024
He Could Be the One,Hannah Montana,0.604,0.88,4,-4.033,1,0.0317,0.00164,1.29e-06,0.352,0.65,125.982
Wake Up,Hilary Duff,0.631,0.825,4,-4.646,1,0.0419,0.0729,2.86e-06,0.23,0.301,120.817
Redbone,Childish Gambino,0.745,0.356,1,-10.425,1,0.0941,0.172,0.00943,0.123,0.607,160.033
Not Nice,PARTYNEXTDOOR,0.598,0.496,0,-9.309,1,0.0804,0.0253,0.00132,0.12,0.725,128.06
Replay,Zendaya,0.689,0.726,6,-6.655,0,0.121,0.0403,8.25e-05,0.29,0.572,140.021
Something To Dance For / TTYLXOX Mash-Up,"Zendaya, Bella Thorne",0.519,0.882,1,-5.761,0,0.205,0.0179,0.00168,0.251,0.542,112.051
Hakuna Matata,"Nathan Lane, Ernie Sabella, Jason Weaver, Joseph Williams",0.402,0.329,0,-17.918,1,0.137,0.635,6.85e-05,0.12,0.676,170.17
Bibbidi-Bobbidi-Boo (The Magic Song),Helena Bonham Carter,0.754,0.419,10,-13.839,1,0.129,0.932,2.78e-06,0.188,0.776,108.619
Try Everything,Shakira,0.705,0.609,1,-4.897,1,0.0307,0.0257,0.0,0.0846,0.476,115.474
How Far I'll Go,Auli'i Cravalho,0.571,0.307,1,-10.958,0,0.0499,0.649,0.0,0.178,0.108,83.72
What's My Name,"China Anne McClain, Thomas Doherty, Dylan Playfair",0.727,0.932,1,-4.931,1,0.16,0.098,0.0,0.211,0.662,114.032
Calling All the Monsters,China Anne McClain,0.56,0.826,6,-5.866,0,0.0976,0.00272,0.0,0.487,0.492,141.974
Dynamite,China Anne McClain,0.659,0.789,6,-3.444,1,0.0717,0.184,0.0,0.0535,0.493,121.947
Exceptional,China Anne McClain,0.677,0.889,11,-4.578,1,0.0454,0.00189,0.00022,0.0963,0.863,129.967
"Cruisin' for a Bruisin' - From ""Teen Beach Movie""","Ross Lynch, Jason Evigan, Grace Phipps",0.585,0.911,11,-4.623,1,0.119,0.0263,0.0,0.112,0.781,163.933
It's Goin' Down,"Dove Cameron, Sofia Carson, Cameron Boyce, Booboo Stewart, China Anne McClain, Mitchell Hope, Thomas Doherty, Dylan Playfair",0.478,0.851,6,-5.936,0,0.377,0.0848,0.0,0.48,0.575,155.856
"Determinate - From ""Lemonade Mouth""","Adam Hicks, Bridgit Mendler, Naomi Scott, Hayley Kiyoko",0.562,0.768,1,-5.006,0,0.0488,0.00361,0.0,0.0742,0.218,139.968
This Is Me,"Demi Lovato, Joe Jonas",0.421,0.821,1,-2.783,1,0.0372,0.00971,0.0,0.1,0.594,91.245
"Wouldn't Change a Thing - From ""Camp Rock 2: The Final Jam""","Demi Lovato, Joe Jonas",0.359,0.883,1,-3.535,1,0.0907,0.0753,0.0,0.112,0.481,171.725
"Breaking Free - From ""High School Musical""/Soundtrack Version","Troy, Gabriella Montez",0.577,0.59,0,-6.437,0,0.0365,0.0475,0.0,0.133,0.333,107.935
Magic,Selena Gomez,0.6,0.916,11,-3.071,0,0.0374,0.00504,0.0,0.27,0.442,104.091
The Climb,Miley Cyrus,0.327,0.588,4,-6.611,1,0.0336,0.0834,0.0,0.104,0.329,161.074
She's So Gone,Naomi Scott,0.518,0.861,11,-4.002,1,0.0673,0.0277,1.42e-06,0.249,0.457,141.986
"Can't Back Down - From ""Camp Rock 2: The Final Jam""","Demi Lovato, Alyson Stoner, Anna Maria Perez de Taglé, Char Ligera",0.637,0.849,8,-4.348,1,0.0957,0.0793,0.0,0.0847,0.699,120.052
"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version",Hannah Montana,0.676,0.861,1,-3.645,1,0.0501,0.0512,0.0,0.0613,0.681,124.031
Turn Up the Music,"Adam Hicks, Bridgit Mendler, Naomi Scott, Hayley Kiyoko, Blake Michael",0.531,0.827,7,-3.7,1,0.081,0.0957,1.84e-06,0.074,0.801,183.977
TTYLXOX,Bella Thorne,0.815,0.688,7,-6.136,1,0.17,0.00336,0.249,0.225,0.699,112.022
Something To Dance For,Zendaya,0.667,0.942,1,-5.567,0,0.0697,0.00493,0.00011,0.327,0.453,130.024
Made In Japan,"Bella Thorne, Zendaya",0.708,0.831,7,-6.857,1,0.22,0.0324,2.42e-06,0.259,0.765,128.001
Watch Me,"Bella Thorne, Zendaya, Cast of Shake It Up: Break It Down",0.71,0.705,0,-4.558,1,0.0683,0.00274,0.00502,0.0979,0.614,124.994
"Shake It Up - From ""Shake It Up""",Selena Gomez,0.727,0.809,2,-6.118,0,0.0327,0.0255,0.0,0.184,0.81,128.015
Up Up And Away,Blush,0.602,0.758,10,-6.517,0,0.0718,0.00374,1.93e-06,0.321,0.679,127.97
Our Generation,Sibel,0.593,0.796,5,-4.67,1,0.0426,0.000314,1.6e-06,0.154,0.563,129.919
Omat säännöt,Cheek,0.774,0.945,1,-5.606,0,0.152,0.0119,0.0,0.168,0.693,105.059
Uncover,Zara Larsson,0.536,0.456,2,-6.217,1,0.0267,0.501,0.0,0.213,0.32,90.032
Se tyttö,Mikael Gabriel,0.614,0.835,0,-6.656,0,0.134,0.118,0.0,0.0818,0.615,170.061
No Love,"Eminem, Lil Wayne",0.735,0.932,11,-2.86,1,0.224,0.128,0.0,0.175,0.318,129.583
Onko sulla pokkaa,Petri Nygård,0.788,0.842,8,-5.289,0,0.157,0.074,0.0,0.0399,0.961,90.006
Sanon suoraan,Petri Nygård,0.627,0.693,2,-5.574,0,0.196,0.0219,0.0,0.243,0.419,160.036
Creatures Of The Night,"Hardwell, Austin Mahone",0.614,0.749,5,-5.292,1,0.0771,0.36,0.0,0.109,0.344,149.815
All I Ever Need,Austin Mahone,0.708,0.647,11,-6.128,1,0.0298,0.117,0.0,0.111,0.654,129.95
Say You're Just a Friend (feat. Flo Rida),"Austin Mahone, Flo Rida",0.748,0.743,1,-4.732,1,0.0578,0.00225,0.0,0.133,0.699,100.002
Say Somethin',Austin Mahone,0.634,0.879,1,-2.949,0,0.0414,0.00166,0.0,0.485,0.918,129.99
BUTTERFLY EFFECT,Travis Scott,0.763,0.598,11,-6.865,1,0.0539,0.0714,0.0,0.112,0.182,140.987
I Don't Wanna Be In Love (Dance Floor Anthem),Good Charlotte,0.642,0.875,6,-3.14,1,0.042,0.0233,0.0,0.19,0.556,124.946
Take A Bow,Rihanna,0.697,0.467,9,-7.536,1,0.0715,0.248,0.0,0.0941,0.572,82.082
Dangerous,"Kardinal Offishall, Akon",0.949,0.79,8,-5.957,1,0.0756,0.00437,0.0,0.0816,0.807,117.002
Do You Remember,"Jay Sean, Sean Paul, Lil Jon",0.855,0.668,11,-4.892,1,0.0644,0.0242,0.0,0.102,0.803,125.846
Kiss Me Thru The Phone,"Soulja Boy, Sammie",0.758,0.712,7,-3.781,1,0.112,0.0185,0.0,0.0677,0.795,149.998
Promiscuous,"Nelly Furtado, Timbaland",0.807,0.97,10,-6.056,0,0.0477,0.0536,6.6e-05,0.149,0.876,114.297
Day 'N' Nite (nightmare),Kid Cudi,0.871,0.44,11,-6.25,0,0.0761,0.499,4.15e-06,0.114,0.799,137.996
Super Bass,Nicki Minaj,0.72,0.861,11,-4.339,1,0.209,0.269,5.11e-06,0.601,0.669,126.991
Sexy Can I (feat. Yung Berg),"Ray J, Yung Berg",0.575,0.686,1,-6.008,1,0.319,0.296,0.0,0.617,0.925,172.132
Love In This Club (feat. Young Jeezy),"Usher, Jeezy",0.584,0.746,0,-4.81,1,0.0753,0.0477,0.0,0.125,0.371,139.952
All Star,Smash Mouth,0.731,0.867,11,-5.881,1,0.032,0.0395,0.0,0.0861,0.776,104.019
Shortie Like Mine (feat. Chris Brown & Johntá Austin),"Bow Wow, Chris Brown, Johnta Austin",0.763,0.629,7,-8.66,0,0.225,0.0891,0.0,0.169,0.709,142.149
Ain't It Fun,Paramore,0.61,0.893,9,-3.681,1,0.0921,0.154,4.41e-05,0.021,0.673,104.031
DONTTRUSTME,3OH!3,0.791,0.713,5,-3.742,0,0.254,0.0163,0.0,0.189,0.514,130.012
My First Kiss (feat. Ke$ha),"3OH!3, Kesha",0.682,0.889,0,-4.166,1,0.0804,0.00564,0.0,0.36,0.827,138.021
Hello - Single Edit,"Martin Solveig, Dragonette",0.671,0.933,3,-4.323,1,0.0318,0.0266,0.0219,0.0429,0.517,127.99
Jump Around,House Of Pain,0.854,0.71,4,-6.32,0,0.0793,0.0113,8.72e-05,0.166,0.818,106.894
Poker Face,Lady Gaga,0.851,0.806,4,-4.618,1,0.0788,0.12,1.39e-06,0.122,0.775,119.002
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818
So What,P!nk,0.531,0.858,11,-2.996,0,0.0431,9.79e-05,5.09e-06,0.378,0.397,126.022
Ice Ice Baby,Vanilla Ice,0.979,0.792,2,-2.784,1,0.0388,0.0025,7.71e-06,0.102,0.583,116.012
